As of,Rank,Year to Date Rank,Last Week Rank,Title,Type,Netflix Exclusive,Netflix Release Date,Days In Top 10,Viewership Score
01-04-2020,1,1,1,"Tiger King: Murder, Mayhem …",TV Show,Yes,"Mar 20, 2020",9,90
01-04-2020,2,2,-,Ozark,TV Show,Yes,"Jul 21, 2017",5,45
01-04-2020,3,3,2,All American,TV Show,,"Mar 28, 2019",9,76
01-04-2020,4,4,-,Blood Father,Movie,,"Mar 26, 2020",5,30
01-04-2020,5,5,4,The Platform,Movie,Yes,"Mar 20, 2020",9,55
01-04-2020,6,6,-,Car Masters: Rust to Riches,TV Show,Yes,"Sep 14, 2018",4,14
01-04-2020,7,10,-,Unorthodox,TV Show,Yes,"Mar 26, 2020",2,5
01-04-2020,8,7,5,Love is Blind,TV Show,Yes,"Feb 13, 2020",9,40
01-04-2020,9,8,-,Badland,Movie,,"Mar 26, 2020",4,11
01-04-2020,10,9,-,Uncorked,Movie,Yes,"Mar 27, 2020",4,15
02-04-2020,1,1,1,"Tiger King: Murder, Mayhem …",TV Show,Yes,"Mar 20, 2020",10,100
02-04-2020,2,2,-,Ozark,TV Show,Yes,"Jul 21, 2017",6,54
02-04-2020,3,3,2,All American,TV Show,,"Mar 28, 2019",10,84
02-04-2020,4,-,-,Nailed It!,TV Show,Yes,"Mar 9, 2018",1,7
02-04-2020,5,-,-,How to Fix a Drug Scandal,TV Show,Yes,"Apr 1, 2020",1,6
02-04-2020,6,4,-,Blood Father,Movie,,"Mar 26, 2020",6,35
02-04-2020,7,-,-,The Roommate,Movie,,"Apr 1, 2020",1,4
02-04-2020,8,7,-,Unorthodox,TV Show,Yes,"Mar 26, 2020",3,8
02-04-2020,9,5,4,The Platform,Movie,Yes,"Mar 20, 2020",10,57
02-04-2020,10,6,-,Car Masters: Rust to Riches,TV Show,Yes,"Sep 14, 2018",5,15
03-04-2020,1,1,1,"Tiger King: Murder, Mayhem …",TV Show,Yes,"Mar 20, 2020",11,110
03-04-2020,2,2,-,Ozark,TV Show,Yes,"Jul 21, 2017",7,63
03-04-2020,3,3,2,All American,TV Show,,"Mar 28, 2019",11,92
03-04-2020,4,5,-,How to Fix a Drug Scandal,TV Show,Yes,"Apr 1, 2020",2,13
03-04-2020,5,4,-,Nailed It!,TV Show,Yes,"Mar 9, 2018",2,13
03-04-2020,6,7,-,The Roommate,Movie,,"Apr 1, 2020",2,9
03-04-2020,7,8,-,Unorthodox,TV Show,Yes,"Mar 26, 2020",4,12
03-04-2020,8,-,-,The Players Club,Movie,,"Apr 1, 2020",1,3
03-04-2020,9,-,-,Salt,Movie,,"Apr 1, 2020",1,2
03-04-2020,10,6,-,Blood Father,Movie,,"Mar 26, 2020",7,36
04-04-2020,1,1,1,"Tiger King: Murder, Mayhem …",TV Show,Yes,"Mar 20, 2020",12,120
04-04-2020,2,2,2,Ozark,TV Show,Yes,"Jul 21, 2017",8,72
04-04-2020,3,-,-,Money Heist,TV Show,Yes,"Dec 20, 2017",1,8
04-04-2020,4,3,3,All American,TV Show,,"Mar 28, 2019",12,99
04-04-2020,5,-,-,Coffee & Kareem,Movie,Yes,"Apr 3, 2020",1,6
04-04-2020,6,4,-,How to Fix a Drug Scandal,TV Show,Yes,"Apr 1, 2020",3,18
04-04-2020,7,6,-,The Roommate,Movie,,"Apr 1, 2020",3,13
04-04-2020,8,5,-,Nailed It!,TV Show,Yes,"Mar 9, 2018",3,16
04-04-2020,9,7,-,Unorthodox,TV Show,Yes,"Mar 26, 2020",5,14
04-04-2020,10,8,-,The Players Club,Movie,,"Apr 1, 2020",2,4
05-04-2020,1,1,1,"Tiger King: Murder, Mayhem …",TV Show,Yes,"Mar 20, 2020",13,130
05-04-2020,2,2,2,Ozark,TV Show,Yes,"Jul 21, 2017",9,81
05-04-2020,3,5,-,Coffee & Kareem,Movie,Yes,"Apr 3, 2020",2,14
05-04-2020,4,3,-,Money Heist,TV Show,Yes,"Dec 20, 2017",2,15
05-04-2020,5,4,3,All American,TV Show,,"Mar 28, 2019",13,105
05-04-2020,6,6,-,How to Fix a Drug Scandal,TV Show,Yes,"Apr 1, 2020",4,23
05-04-2020,7,8,-,Nailed It!,TV Show,Yes,"Mar 9, 2018",4,20
05-04-2020,8,7,-,The Roommate,Movie,,"Apr 1, 2020",4,16
05-04-2020,9,-,-,Angel Has Fallen,Movie,,"Apr 4, 2020",1,2
05-04-2020,10,9,-,Unorthodox,TV Show,Yes,"Mar 26, 2020",6,15
06-04-2020,1,1,1,"Tiger King: Murder, Mayhem …",TV Show,Yes,"Mar 20, 2020",14,140
06-04-2020,2,2,2,Ozark,TV Show,Yes,"Jul 21, 2017",10,90
06-04-2020,3,3,-,Coffee & Kareem,Movie,Yes,"Apr 3, 2020",3,22
06-04-2020,4,9,-,Angel Has Fallen,Movie,,"Apr 4, 2020",2,9
06-04-2020,5,4,-,Money Heist,TV Show,Yes,"Dec 20, 2017",3,21
06-04-2020,6,5,3,All American,TV Show,,"Mar 28, 2019",14,110
06-04-2020,7,6,-,How to Fix a Drug Scandal,TV Show,Yes,"Apr 1, 2020",5,27
06-04-2020,8,7,-,Nailed It!,TV Show,Yes,"Mar 9, 2018",5,23
06-04-2020,9,8,-,The Roommate,Movie,,"Apr 1, 2020",5,18
06-04-2020,10,-,-,The Hangover,Movie,,"Jul 1, 2019",1,1
07-04-2020,1,1,1,"Tiger King: Murder, Mayhem …",TV Show,Yes,"Mar 20, 2020",15,150
07-04-2020,2,2,2,Ozark,TV Show,Yes,"Jul 21, 2017",11,99
07-04-2020,3,3,-,Coffee & Kareem,Movie,Yes,"Apr 3, 2020",4,30
07-04-2020,4,4,-,Angel Has Fallen,Movie,,"Apr 4, 2020",3,16
07-04-2020,5,5,-,Money Heist,TV Show,Yes,"Dec 20, 2017",4,27
07-04-2020,6,6,3,All American,TV Show,,"Mar 28, 2019",15,115
07-04-2020,7,-,-,The Big Show Show,TV Show,Yes,"Apr 6, 2020",1,4
07-04-2020,8,8,-,Nailed It!,TV Show,Yes,"Mar 9, 2018",6,26
07-04-2020,9,7,-,How to Fix a Drug Scandal,TV Show,Yes,"Apr 1, 2020",6,29
07-04-2020,10,-,-,Legacies,TV Show,,"Apr 5, 2019",1,1
08-04-2020,1,1,1,"Tiger King: Murder, Mayhem …",TV Show,Yes,"Mar 20, 2020",16,160
08-04-2020,2,2,2,Ozark,TV Show,Yes,"Jul 21, 2017",12,108
08-04-2020,3,3,-,Coffee & Kareem,Movie,Yes,"Apr 3, 2020",5,38
08-04-2020,4,7,-,The Big Show Show,TV Show,Yes,"Apr 6, 2020",2,11
08-04-2020,5,4,-,Angel Has Fallen,Movie,,"Apr 4, 2020",4,22
08-04-2020,6,5,-,Money Heist,TV Show,Yes,"Dec 20, 2017",5,32
08-04-2020,7,6,3,All American,TV Show,,"Mar 28, 2019",16,119
08-04-2020,8,10,-,Legacies,TV Show,,"Apr 5, 2019",2,4
08-04-2020,9,8,-,Nailed It!,TV Show,Yes,"Mar 9, 2018",7,28
08-04-2020,10,-,-,The Hangover,Movie,,"Jul 1, 2019",2,2
09-04-2020,1,1,1,"Tiger King: Murder, Mayhem …",TV Show,Yes,"Mar 20, 2020",17,170
09-04-2020,2,2,2,Ozark,TV Show,Yes,"Jul 21, 2017",13,117
09-04-2020,3,4,-,The Big Show Show,TV Show,Yes,"Apr 6, 2020",3,19
09-04-2020,4,5,-,Angel Has Fallen,Movie,,"Apr 4, 2020",5,29
09-04-2020,5,3,-,Coffee & Kareem,Movie,Yes,"Apr 3, 2020",6,44
09-04-2020,6,6,-,Money Heist,TV Show,Yes,"Dec 20, 2017",6,37
09-04-2020,7,7,3,All American,TV Show,,"Mar 28, 2019",17,123
09-04-2020,8,8,-,Legacies,TV Show,,"Apr 5, 2019",3,7
09-04-2020,9,9,4,Nailed It!,TV Show,Yes,"Mar 9, 2018",8,30
09-04-2020,10,10,-,The Hangover,Movie,,"Jul 1, 2019",3,3
10-04-2020,1,1,1,"Tiger King: Murder, Mayhem …",TV Show,Yes,"Mar 20, 2020",18,180
10-04-2020,2,2,2,Ozark,TV Show,Yes,"Jul 21, 2017",14,126
10-04-2020,3,3,-,The Big Show Show,TV Show,Yes,"Apr 6, 2020",4,27
10-04-2020,4,4,-,Angel Has Fallen,Movie,,"Apr 4, 2020",6,36
10-04-2020,5,6,-,Money Heist,TV Show,Yes,"Dec 20, 2017",7,43
10-04-2020,6,7,3,All American,TV Show,,"Mar 28, 2019",18,128
10-04-2020,7,5,-,Coffee & Kareem,Movie,Yes,"Apr 3, 2020",7,48
10-04-2020,8,8,-,Legacies,TV Show,,"Apr 5, 2019",4,10
10-04-2020,9,9,5,Nailed It!,TV Show,Yes,"Mar 9, 2018",9,32
10-04-2020,10,-,-,Community,TV Show,,"Apr 1, 2020",1,1
11-04-2020,1,1,1,"Tiger King: Murder, Mayhem …",TV Show,Yes,"Mar 20, 2020",19,190
11-04-2020,2,2,2,Ozark,TV Show,Yes,"Jul 21, 2017",15,135
11-04-2020,3,4,-,Angel Has Fallen,Movie,,"Apr 4, 2020",7,44
11-04-2020,4,3,-,The Big Show Show,TV Show,Yes,"Apr 6, 2020",5,34
11-04-2020,5,5,3,Money Heist,TV Show,Yes,"Dec 20, 2017",8,49
11-04-2020,6,-,-,Love Wedding Repeat,Movie,Yes,"Apr 10, 2020",1,5
11-04-2020,7,6,4,All American,TV Show,,"Mar 28, 2019",19,132
11-04-2020,8,7,5,Coffee & Kareem,Movie,Yes,"Apr 3, 2020",8,51
11-04-2020,9,8,-,Legacies,TV Show,,"Apr 5, 2019",5,12
11-04-2020,10,9,8,Nailed It!,TV Show,Yes,"Mar 9, 2018",10,33
12-04-2020,1,1,1,"Tiger King: Murder, Mayhem …",TV Show,Yes,"Mar 20, 2020",20,200
12-04-2020,2,2,2,Ozark,TV Show,Yes,"Jul 21, 2017",16,144
12-04-2020,3,6,-,Love Wedding Repeat,Movie,Yes,"Apr 10, 2020",2,13
12-04-2020,4,3,9,Angel Has Fallen,Movie,,"Apr 4, 2020",8,51
12-04-2020,5,4,-,The Big Show Show,TV Show,Yes,"Apr 6, 2020",6,40
12-04-2020,6,5,4,Money Heist,TV Show,Yes,"Dec 20, 2017",9,54
12-04-2020,7,-,-,Code 8,Movie,,"Apr 11, 2020",1,4
12-04-2020,8,7,5,All American,TV Show,,"Mar 28, 2019",20,135
12-04-2020,9,9,-,Legacies,TV Show,,"Apr 5, 2019",6,14
12-04-2020,10,-,-,Community,TV Show,,"Apr 1, 2020",2,2
13-04-2020,1,1,1,"Tiger King: Murder, Mayhem …",TV Show,Yes,"Mar 20, 2020",21,210
13-04-2020,2,7,-,Code 8,Movie,,"Apr 11, 2020",2,13
13-04-2020,3,2,2,Ozark,TV Show,Yes,"Jul 21, 2017",17,152
13-04-2020,4,4,4,Angel Has Fallen,Movie,,"Apr 4, 2020",9,58
13-04-2020,5,3,-,Love Wedding Repeat,Movie,Yes,"Apr 10, 2020",3,19
13-04-2020,6,6,5,Money Heist,TV Show,Yes,"Dec 20, 2017",10,59
13-04-2020,7,-,-,Hop,Movie,,"Jan 16, 2020",1,4
13-04-2020,8,5,-,The Big Show Show,TV Show,Yes,"Apr 6, 2020",7,43
13-04-2020,9,8,6,All American,TV Show,,"Mar 28, 2019",21,137
13-04-2020,10,-,-,The Main Event,Movie,Yes,"Apr 10, 2020",1,1
14-04-2020,1,1,1,"Tiger King: Murder, Mayhem …",TV Show,Yes,"Mar 20, 2020",22,220
14-04-2020,2,3,2,Ozark,TV Show,Yes,"Jul 21, 2017",18,161
14-04-2020,3,2,-,Code 8,Movie,,"Apr 11, 2020",3,21
14-04-2020,4,6,5,Money Heist,TV Show,Yes,"Dec 20, 2017",11,66
14-04-2020,5,9,6,All American,TV Show,,"Mar 28, 2019",22,143
14-04-2020,6,5,-,Love Wedding Repeat,Movie,Yes,"Apr 10, 2020",4,24
14-04-2020,7,8,7,The Big Show Show,TV Show,Yes,"Apr 6, 2020",8,47
14-04-2020,8,10,-,The Main Event,Movie,Yes,"Apr 10, 2020",2,4
14-04-2020,9,4,4,Angel Has Fallen,Movie,,"Apr 4, 2020",10,60
14-04-2020,10,-,10,Legacies,TV Show,,"Apr 5, 2019",7,15
15-04-2020,1,1,1,"Tiger King: Murder, Mayhem …",TV Show,Yes,"Mar 20, 2020",23,230
15-04-2020,2,2,2,Ozark,TV Show,Yes,"Jul 21, 2017",19,170
15-04-2020,3,3,-,Code 8,Movie,,"Apr 11, 2020",4,29
15-04-2020,4,-,-,Chris DâElia: No Pain,Stand-Up Comedy,Yes,"Apr 14, 2020",1,7
15-04-2020,5,4,6,Money Heist,TV Show,Yes,"Dec 20, 2017",12,72
15-04-2020,6,5,7,All American,TV Show,,"Mar 28, 2019",23,148
15-04-2020,7,7,4,The Big Show Show,TV Show,Yes,"Apr 6, 2020",9,51
15-04-2020,8,6,-,Love Wedding Repeat,Movie,Yes,"Apr 10, 2020",5,27
15-04-2020,9,8,-,The Main Event,Movie,Yes,"Apr 10, 2020",3,6
15-04-2020,10,9,5,Angel Has Fallen,Movie,,"Apr 4, 2020",11,61
16-04-2020,1,1,1,"Tiger King: Murder, Mayhem …",TV Show,Yes,"Mar 20, 2020",24,240
16-04-2020,2,2,2,Ozark,TV Show,Yes,"Jul 21, 2017",20,179
16-04-2020,3,3,-,Code 8,Movie,,"Apr 11, 2020",5,37
16-04-2020,4,4,-,Chris DâElia: No Pain,Stand-Up Comedy,Yes,"Apr 14, 2020",2,14
16-04-2020,5,-,-,The Innocence Files,TV Show,Yes,"Apr 15, 2020",1,6
16-04-2020,6,-,-,Outer Banks,TV Show,Yes,"Apr 15, 2020",1,5
16-04-2020,7,6,7,All American,TV Show,,"Mar 28, 2019",24,152
16-04-2020,8,5,6,Money Heist,TV Show,Yes,"Dec 20, 2017",13,75
16-04-2020,9,7,3,The Big Show Show,TV Show,Yes,"Apr 6, 2020",10,53
16-04-2020,10,10,4,Angel Has Fallen,Movie,,"Apr 4, 2020",12,62
17-04-2020,1,-,-,Despicable Me,Movie,,"Apr 16, 2020",1,10
17-04-2020,2,1,1,"Tiger King: Murder, Mayhem …",TV Show,Yes,"Mar 20, 2020",25,249
17-04-2020,3,6,-,Outer Banks,TV Show,Yes,"Apr 15, 2020",2,13
17-04-2020,4,2,2,Ozark,TV Show,Yes,"Jul 21, 2017",21,186
17-04-2020,5,5,-,The Innocence Files,TV Show,Yes,"Apr 15, 2020",2,12
17-04-2020,6,3,-,Code 8,Movie,,"Apr 11, 2020",6,42
17-04-2020,7,7,6,All American,TV Show,,"Mar 28, 2019",25,156
17-04-2020,8,8,5,Money Heist,TV Show,Yes,"Dec 20, 2017",14,78
17-04-2020,9,4,-,Chris DâElia: No Pain,Stand-Up Comedy,Yes,"Apr 14, 2020",3,16
17-04-2020,10,9,3,The Big Show Show,TV Show,Yes,"Apr 6, 2020",11,54
18-04-2020,1,1,-,Despicable Me,Movie,,"Apr 16, 2020",2,20
18-04-2020,2,2,1,"Tiger King: Murder, Mayhem …",TV Show,Yes,"Mar 20, 2020",26,258
18-04-2020,3,3,-,Outer Banks,TV Show,Yes,"Apr 15, 2020",3,21
18-04-2020,4,4,2,Ozark,TV Show,Yes,"Jul 21, 2017",22,193
18-04-2020,5,-,-,Too Hot to Handle,TV Show,Yes,"Apr 17, 2020",1,6
18-04-2020,6,-,-,#blackAF,TV Show,Yes,"Apr 17, 2020",1,5
18-04-2020,7,6,-,Code 8,Movie,,"Apr 11, 2020",7,46
18-04-2020,8,5,-,The Innocence Files,TV Show,Yes,"Apr 15, 2020",3,15
18-04-2020,9,7,7,All American,TV Show,,"Mar 28, 2019",26,158
18-04-2020,10,8,5,Money Heist,TV Show,Yes,"Dec 20, 2017",15,79
19-04-2020,1,1,-,Despicable Me,Movie,,"Apr 16, 2020",3,30
19-04-2020,2,5,-,Too Hot to Handle,TV Show,Yes,"Apr 17, 2020",2,15
19-04-2020,3,2,1,"Tiger King: Murder, Mayhem …",TV Show,Yes,"Mar 20, 2020",27,266
19-04-2020,4,3,-,Outer Banks,TV Show,Yes,"Apr 15, 2020",4,28
19-04-2020,5,6,-,#blackAF,TV Show,Yes,"Apr 17, 2020",2,11
19-04-2020,6,4,2,Ozark,TV Show,Yes,"Jul 21, 2017",23,198
19-04-2020,7,8,-,The Innocence Files,TV Show,Yes,"Apr 15, 2020",4,19
19-04-2020,8,7,7,Code 8,Movie,,"Apr 11, 2020",8,49
19-04-2020,9,-,-,Waco,TV Show,,"Apr 16, 2020",1,2
19-04-2020,10,10,6,Money Heist,TV Show,Yes,"Dec 20, 2017",16,80
20-04-2020,1,1,-,Despicable Me,Movie,,"Apr 16, 2020",4,40
20-04-2020,2,2,-,Too Hot to Handle,TV Show,Yes,"Apr 17, 2020",3,24
20-04-2020,3,4,-,Outer Banks,TV Show,Yes,"Apr 15, 2020",5,36
20-04-2020,4,3,1,"Tiger King: Murder, Mayhem …",TV Show,Yes,"Mar 20, 2020",28,273
20-04-2020,5,5,-,#blackAF,TV Show,Yes,"Apr 17, 2020",3,17
20-04-2020,6,6,3,Ozark,TV Show,Yes,"Jul 21, 2017",24,203
20-04-2020,7,9,-,Waco,TV Show,,"Apr 16, 2020",2,6
20-04-2020,8,7,-,The Innocence Files,TV Show,Yes,"Apr 15, 2020",5,22
20-04-2020,9,8,2,Code 8,Movie,,"Apr 11, 2020",9,51
20-04-2020,10,-,-,The Green Hornet,Movie,,"Apr 18, 2020",1,1
21-04-2020,1,2,-,Too Hot to Handle,TV Show,Yes,"Apr 17, 2020",4,34
21-04-2020,2,3,-,Outer Banks,TV Show,Yes,"Apr 15, 2020",6,45
21-04-2020,3,1,-,Despicable Me,Movie,,"Apr 16, 2020",5,48
21-04-2020,4,7,-,Waco,TV Show,,"Apr 16, 2020",3,13
21-04-2020,5,4,1,"Tiger King: Murder, Mayhem …",TV Show,Yes,"Mar 20, 2020",29,279
21-04-2020,6,5,-,#blackAF,TV Show,Yes,"Apr 17, 2020",4,22
21-04-2020,7,6,2,Ozark,TV Show,Yes,"Jul 21, 2017",25,207
21-04-2020,8,8,-,The Innocence Files,TV Show,Yes,"Apr 15, 2020",6,25
21-04-2020,9,-,5,All American,TV Show,,"Mar 28, 2019",27,160
21-04-2020,10,10,-,The Green Hornet,Movie,,"Apr 18, 2020",2,2
22-04-2020,1,1,-,Too Hot to Handle,TV Show,Yes,"Apr 17, 2020",5,44
22-04-2020,2,2,-,Outer Banks,TV Show,Yes,"Apr 15, 2020",7,54
22-04-2020,3,3,-,Despicable Me,Movie,,"Apr 16, 2020",6,56
22-04-2020,4,4,-,Waco,TV Show,,"Apr 16, 2020",4,20
22-04-2020,5,6,-,#blackAF,TV Show,Yes,"Apr 17, 2020",5,28
22-04-2020,6,5,1,"Tiger King: Murder, Mayhem …",TV Show,Yes,"Mar 20, 2020",30,284
22-04-2020,7,7,2,Ozark,TV Show,Yes,"Jul 21, 2017",26,211
22-04-2020,8,9,6,All American,TV Show,,"Mar 28, 2019",28,163
22-04-2020,9,8,-,The Innocence Files,TV Show,Yes,"Apr 15, 2020",7,27
22-04-2020,10,-,-,Cooked with Cannabis,TV Show,Yes,"Apr 20, 2020",1,1
23-04-2020,1,1,-,Too Hot to Handle,TV Show,Yes,"Apr 17, 2020",6,54
23-04-2020,2,2,6,Outer Banks,TV Show,Yes,"Apr 15, 2020",8,63
23-04-2020,3,4,-,Waco,TV Show,,"Apr 16, 2020",5,28
23-04-2020,4,-,-,The Willoughbys,Movie,Yes,"Apr 22, 2020",1,7
23-04-2020,5,3,-,Despicable Me,Movie,,"Apr 16, 2020",7,62
23-04-2020,6,7,2,Ozark,TV Show,Yes,"Jul 21, 2017",27,216
23-04-2020,7,6,1,"Tiger King: Murder, Mayhem …",TV Show,Yes,"Mar 20, 2020",31,288
23-04-2020,8,5,-,#blackAF,TV Show,Yes,"Apr 17, 2020",6,31
23-04-2020,9,-,-,Absurd Planet,TV Show,Yes,"Apr 22, 2020",1,2
23-04-2020,10,10,-,Cooked with Cannabis,TV Show,Yes,"Apr 20, 2020",2,2
24-04-2020,1,4,-,The Willoughbys,Movie,Yes,"Apr 22, 2020",2,17
24-04-2020,2,2,3,Outer Banks,TV Show,Yes,"Apr 15, 2020",9,72
24-04-2020,3,1,-,Too Hot to Handle,TV Show,Yes,"Apr 17, 2020",7,62
24-04-2020,4,3,-,Waco,TV Show,,"Apr 16, 2020",6,35
24-04-2020,5,6,4,Ozark,TV Show,Yes,"Jul 21, 2017",28,222
24-04-2020,6,5,1,Despicable Me,Movie,,"Apr 16, 2020",8,67
24-04-2020,7,7,2,"Tiger King: Murder, Mayhem …",TV Show,Yes,"Mar 20, 2020",32,292
24-04-2020,8,8,-,#blackAF,TV Show,Yes,"Apr 17, 2020",7,34
24-04-2020,9,9,-,Absurd Planet,TV Show,Yes,"Apr 22, 2020",2,4
24-04-2020,10,10,-,Cooked with Cannabis,TV Show,Yes,"Apr 20, 2020",3,3
25-04-2020,1,-,-,Extraction,Movie,Yes,"Apr 24, 2020",1,10
25-04-2020,2,1,-,The Willoughbys,Movie,Yes,"Apr 22, 2020",3,26
25-04-2020,3,2,3,Outer Banks,TV Show,Yes,"Apr 15, 2020",10,80
25-04-2020,4,3,5,Too Hot to Handle,TV Show,Yes,"Apr 17, 2020",8,69
25-04-2020,5,4,-,Waco,TV Show,,"Apr 16, 2020",7,41
25-04-2020,6,5,4,Ozark,TV Show,Yes,"Jul 21, 2017",29,227
25-04-2020,7,6,1,Despicable Me,Movie,,"Apr 16, 2020",9,71
25-04-2020,8,7,2,"Tiger King: Murder, Mayhem …",TV Show,Yes,"Mar 20, 2020",33,295
25-04-2020,9,9,-,Absurd Planet,TV Show,Yes,"Apr 22, 2020",3,6
25-04-2020,10,8,6,#blackAF,TV Show,Yes,"Apr 17, 2020",8,35
26-04-2020,1,1,-,Extraction,Movie,Yes,"Apr 24, 2020",2,20
26-04-2020,2,3,4,Outer Banks,TV Show,Yes,"Apr 15, 2020",11,89
26-04-2020,3,2,-,The Willoughbys,Movie,Yes,"Apr 22, 2020",4,34
26-04-2020,4,5,9,Waco,TV Show,,"Apr 16, 2020",8,48
26-04-2020,5,4,2,Too Hot to Handle,TV Show,Yes,"Apr 17, 2020",9,75
26-04-2020,6,8,3,"Tiger King: Murder, Mayhem …",TV Show,Yes,"Mar 20, 2020",34,300
26-04-2020,7,6,6,Ozark,TV Show,Yes,"Jul 21, 2017",30,231
26-04-2020,8,9,-,Absurd Planet,TV Show,Yes,"Apr 22, 2020",4,9
26-04-2020,9,7,1,Despicable Me,Movie,,"Apr 16, 2020",10,73
26-04-2020,10,-,-,Django Unchained,Movie,,"Oct 25, 2014",1,1
27-04-2020,1,1,-,Extraction,Movie,Yes,"Apr 24, 2020",3,30
27-04-2020,2,2,3,Outer Banks,TV Show,Yes,"Apr 15, 2020",12,98
27-04-2020,3,-,-,"Coronavirus, Explained",TV Show,Yes,"Apr 26, 2020",1,8
27-04-2020,4,3,-,The Willoughbys,Movie,Yes,"Apr 22, 2020",5,41
27-04-2020,5,4,7,Waco,TV Show,,"Apr 16, 2020",9,54
27-04-2020,6,5,2,Too Hot to Handle,TV Show,Yes,"Apr 17, 2020",10,80
27-04-2020,7,-,-,The Last Kingdom,TV Show,,"Jul 10, 2016",1,4
27-04-2020,8,10,-,Django Unchained,Movie,,"Oct 25, 2014",2,4
27-04-2020,9,7,6,Ozark,TV Show,Yes,"Jul 21, 2017",31,233
27-04-2020,10,6,4,"Tiger King: Murder, Mayhem …",TV Show,Yes,"Mar 20, 2020",35,301
28-04-2020,1,1,-,Extraction,Movie,Yes,"Apr 24, 2020",4,40
28-04-2020,2,2,2,Outer Banks,TV Show,Yes,"Apr 15, 2020",13,107
28-04-2020,3,7,-,The Last Kingdom,TV Show,,"Jul 10, 2016",2,12
28-04-2020,4,3,-,"Coronavirus, Explained",TV Show,Yes,"Apr 26, 2020",2,15
28-04-2020,5,4,-,The Willoughbys,Movie,Yes,"Apr 22, 2020",6,47
28-04-2020,6,-,-,Never Have I Ever,TV Show,Yes,"Apr 27, 2020",1,5
28-04-2020,7,5,4,Waco,TV Show,,"Apr 16, 2020",10,58
28-04-2020,8,6,1,Too Hot to Handle,TV Show,Yes,"Apr 17, 2020",11,83
28-04-2020,9,9,7,Ozark,TV Show,Yes,"Jul 21, 2017",32,235
28-04-2020,10,8,-,Django Unchained,Movie,,"Oct 25, 2014",3,5
29-04-2020,1,1,-,Extraction,Movie,Yes,"Apr 24, 2020",5,50
29-04-2020,2,6,-,Never Have I Ever,TV Show,Yes,"Apr 27, 2020",2,14
29-04-2020,3,2,2,Outer Banks,TV Show,Yes,"Apr 15, 2020",14,115
29-04-2020,4,3,-,The Last Kingdom,TV Show,,"Jul 10, 2016",3,19
29-04-2020,5,5,-,The Willoughbys,Movie,Yes,"Apr 22, 2020",7,53
29-04-2020,6,7,4,Waco,TV Show,,"Apr 16, 2020",11,63
29-04-2020,7,9,7,Ozark,TV Show,Yes,"Jul 21, 2017",33,239
29-04-2020,8,4,-,"Coronavirus, Explained",TV Show,Yes,"Apr 26, 2020",3,18
29-04-2020,9,8,1,Too Hot to Handle,TV Show,Yes,"Apr 17, 2020",12,85
29-04-2020,10,10,-,Django Unchained,Movie,,"Oct 25, 2014",4,6
30-04-2020,1,2,-,Never Have I Ever,TV Show,Yes,"Apr 27, 2020",3,24
30-04-2020,2,1,-,Extraction,Movie,Yes,"Apr 24, 2020",6,59
30-04-2020,3,3,2,Outer Banks,TV Show,Yes,"Apr 15, 2020",15,123
30-04-2020,4,4,-,The Last Kingdom,TV Show,,"Jul 10, 2016",4,26
30-04-2020,5,-,-,Murder to Mercy: The Cyntoi…,Movie,Yes,"Apr 29, 2020",1,6
30-04-2020,6,5,4,The Willoughbys,Movie,Yes,"Apr 22, 2020",8,58
30-04-2020,7,6,3,Waco,TV Show,,"Apr 16, 2020",12,67
30-04-2020,8,7,6,Ozark,TV Show,Yes,"Jul 21, 2017",34,242
30-04-2020,9,10,-,Django Unchained,Movie,,"Oct 25, 2014",5,8
30-04-2020,10,9,1,Too Hot to Handle,TV Show,Yes,"Apr 17, 2020",13,86
01-05-2020,1,1,-,Never Have I Ever,TV Show,Yes,"Apr 27, 2020",4,34
01-05-2020,2,-,-,Dangerous Lies,Movie,Yes,"Apr 30, 2020",1,9
01-05-2020,3,3,2,Outer Banks,TV Show,Yes,"Apr 15, 2020",16,131
01-05-2020,4,2,-,Extraction,Movie,Yes,"Apr 24, 2020",7,66
01-05-2020,5,5,-,Murder to Mercy: The Cyntoi…,Movie,Yes,"Apr 29, 2020",2,12
01-05-2020,6,4,-,The Last Kingdom,TV Show,,"Jul 10, 2016",5,31
01-05-2020,7,6,1,The Willoughbys,Movie,Yes,"Apr 22, 2020",9,62
01-05-2020,8,7,4,Waco,TV Show,,"Apr 16, 2020",13,70
01-05-2020,9,8,5,Ozark,TV Show,Yes,"Jul 21, 2017",35,244
01-05-2020,10,10,3,Too Hot to Handle,TV Show,Yes,"Apr 17, 2020",14,87
02-05-2020,1,2,-,Dangerous Lies,Movie,Yes,"Apr 30, 2020",2,19
02-05-2020,2,1,-,Never Have I Ever,TV Show,Yes,"Apr 27, 2020",5,43
02-05-2020,3,3,3,Outer Banks,TV Show,Yes,"Apr 15, 2020",17,139
02-05-2020,4,4,1,Extraction,Movie,Yes,"Apr 24, 2020",8,73
02-05-2020,5,5,-,Murder to Mercy: The Cyntoi…,Movie,Yes,"Apr 29, 2020",3,18
02-05-2020,6,6,-,The Last Kingdom,TV Show,,"Jul 10, 2016",6,36
02-05-2020,7,7,2,The Willoughbys,Movie,Yes,"Apr 22, 2020",10,66
02-05-2020,8,-,-,All Day and a Night,Movie,Yes,"May 1, 2020",1,3
